Handle,Title,Variant Price,Collection,Type,Vendor,Variant Grams,Variant Weight Unit,Variant Inventory Qty,Status,Image Src,product.metafields.custom.band,Case Diameter (mm) 2,Dial Color 3,Gender 4,Lug Width 5,New 6,Movement 7,Caliber 8,Booklet 9,Collection 10,Tags,Body (HTML),product.metafields.custom.movement_value_1,product.metafields.custom.movement_value_2,product.metafields.custom.movement_value_3,product.metafields.custom.case_thickness_mm,product.metafields.custom.case_length_mm,product.metafields.custom.web_case_material,product.metafields.custom.web_strap,product.metafields.custom.web_water_resistance,product.metafields.custom.case_cross_reference,product.metafields.custom.feature_1,product.metafields.custom.feature_2,product.metafields.custom.feature_3,product.metafields.custom.feature_4,product.metafields.custom.feature_5
S23159,S23159,275,Essentials,Watch,Seikousa ,145,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/S23159_1_ad9a6198-c03c-4915-bd08-454e8cd60787.png?v=1757427958,Leather Strap,36,Silver,Men's,,,Quartz,7C17,E7C17C,Essentials,"Leather Strap, 36, Silver, Men's, Quartz, 7C17, E7C17C, Essentials","<p>From the Essentials Collection. Offering classic dress/sport designs, the Essentials Collection provides the ideal solution for everyday wear. Crafted of stainless steel, this tailored watch features silver dial with a hinged acryllic crystal that opens so the time can be detected by touch. With a functional black strap with a folding clasp.</p>",Caliber 7C17,,,,,Stainless steel case,Black leather strap,,VisImp,Visually Impaired,Braille for visually impaired,Hinged acrylic crystal opens to allow access to raised markers,Analog Quartz movement,Quartz Movement
SFJ003,SFJ003,925,Prospex,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SFJ003_1_e3643d5e-8264-44e0-9808-f7fd4ef17c87.png?v=1757428373,Stainless Steel,42,Black,Men's,20,new,Solar Chronograph,8A50,NSY8A501,Prospex,"Stainless Steel, 42, Black, Men's, 20, new, Solar Chronograph, 8A50, NSY8A501, Prospex","<p>Seiko Speedtimer 1/100 Second Solar Chronograph. Designed for those who treat life as the ultimate adventure, Seiko Prospex keeps moving forward, meeting every challenge with technological excellence and winning design. Featuring the new solar chronograph 8A50 movement, this exceptional watch further advances the high-intensity collection with inspiration from Seiko's - and the world's - first analog quartz chronograph, which featured a 1/100-second stopwatch. For enhanced legibility, the uniquely designed dial includes a black base with four black inset subdials, separating the time dial from the chronograph indicators, and LumiBrite hands and markers. The chronograph function measures up to 60 minutes of elapsed time in 1/100-second increments and provides a split time function, while the solar cell, powered by any light source, with no battery change required, offers a 6-month power reserve when fully charged. To allow easy utilization of the stopwatch feature, this precision watch features concave tops on the hammer-shaped pushers. With a curved anti-reflective sapphire crystal, this rugged stainless steel timepiece includes a screwdown caseback and tri-fold push button release clasp. 10 bar, 100M Water Resistant</p>",Caliber 8A50,Powered by light energy - no battery change required,6-month power reserve once fully charged,12.91,48.27,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Speedtimer3,Seiko Speedtimer 1/100 Second Solar Chronograph,"Inspired by Seiko's - and the world's - first analog quartz chronograph, which featured a 1/100-second stopwatch","Features the new solar chronograph 8A50 movement, with precision stopwatch timing to 1/100 second, measurement up to 60 minutes of elapsed time, and a split time function","Black dial with four inset black subdials, including a separate time dial",LumiBrite hands and markers
SFJ005,SFJ005,925,Prospex,Watch,Seikousa ,200,g,10,draft,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SFJ005_1_256bd6df-967d-48e6-98df-4ad1668fde0b.png?v=1757428374,Stainless Steel,42,Charcoal,Men's,20,,Solar Chronograph,8A50,NSY8A501,Prospex,"Stainless Steel, 42, Charcoal, Men's, 20, Solar Chronograph, 8A50, NSY8A501, Prospex","<p>Seiko Speedtimer 40th Anniversary Limited Edition. Designed for those who treat life as the ultimate adventure, Seiko Prospex keeps moving forward, meeting every challenge with technological excellence and winning design. This extraordinary Limited Edition, available only in a controlled-production run of 4,000, with the serial number engraved on each caseback, celebrates the 40th anniversary of the first analog quartz chronograph equipped with a 1/100-second stopwatch. Featuring the new solar chronograph 8A50 movement, this exceptional watch includes a highly legible, uniquely designed dial with a warm charcoal gray base and four inset black subdials, separating the time dial from the chronograph indicators, and LumiBrite hands and markers. The chronograph function measures up to 60 minutes of elapsed time in 1/100-second increments and provides a split time function, while the solar cell, powered by any light source, with no battery change required, offers a 6-month power reserve when fully charged. To allow easy utilization of the stopwatch feature, this precision watch features concave tops on the hammer-shaped pushers. With a curved anti-reflective sapphire crystal, this rugged stainless steel timepiece includes stylish black center links, a screwdown caseback and tri-fold push button release clasp. 10 bar, 100M Water Resistant</p>",Caliber 8A50,Powered by light energy - no battery change required,6-month power reserve once fully charged,12.91,48.27,Stainless steel case,Stainless steel bracelet with black center links,"10 bar, 100 meters (330 feet)",Speedtimer3,Seiko Speedtimer 1/100 Second Solar Chronograph Limited Edition,"Limited Edition of 4,000, celebrating the 40th anniversary of Seiko's - and the world's - first analog quartz chronograph equipped with a 1/100-second stopwatch",Production serial number engraved on caseback,"Features the new solar chronograph 8A50 movement, with precision stopwatch timing to 1/100 second, measurement up to 60 minutes of elapsed time, and a split time function","Warm charcoal gray dial with four inset black subdials, including a separate time dial"
SFJ007,SFJ007,950,Prospex,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SFJ007_1_041a43da-1bf4-4569-822d-bceb9ec67534.png?v=1757428374,Stainless Steel,42,Black,Men's,20,,Solar Chronograph,8A50,NSY8A501,Prospex,"Stainless Steel, 42, Black, Men's, 20, Solar Chronograph, 8A50, NSY8A501, Prospex","<p>Seiko Speedtimer World Athletics Championship Budapest 2023 Limited Edition. Designed for those who treat life as the ultimate adventure, Seiko Prospex keeps moving forward, meeting every challenge with technological excellence and winning design. As official timer of the World Athletics Championship Budapest 2023, Seiko presents this extraordinary commemorative Limited Edition, available only in a controlled-production run of 4,000, with the production serial number and the official logo for the Budapest Championship engraved on each screwdown caseback. Featuring the new solar chronograph 8A50 movement, this exceptional watch further advances the high-intensity collection with inspiration from Seiko's - and the world's - first analog quartz chronograph, which featured a 1/100-second stopwatch. To properly reflect world-class athletics, the distinctive black dial is patterned to suggest professional running tracks, while the gold chronograph hands symbolize the highest prize. For enhanced legibility, the uniquely designed dial includes four inset black subdials, separating the time dial from the chronograph indicators, and LumiBrite hands and markers. The chronograph function measures up to 60 minutes of elapsed time in 1/100-second increments and provides a split time function, while the solar cell, powered by any light source, with no battery change required, offers a 6-month power reserve when fully charged. Allowing easy utilization of the stopwatch feature, this precision watch features concave tops on the hammer-shaped pushers. Crafted of stainless steel with black hard coating, this rugged timepiece also includes a curved anti-reflective sapphire crystal and tri-fold push button release clasp. 10 bar, 100M Water Resistant</p>",Caliber 8A50,Powered by light energy - no battery change required,6-month power reserve once fully charged,12.91,48.27,Stainless steel case with black hard coating,Stainless steel bracelet with black hard coating,"10 bar, 100 meters (330 feet)",Speedtimer3,Seiko Speedtimer World Athletics Championship Budapest 2023 Limited Edition,"Limited Edition of 4,000, commemorating the World Athletics Championship Budapest 2023, for which Seiko is the official timer",Production serial number and Budapest Championship logo engraved on caseback,"Inspired by Seiko's - and the world's - first analog quartz chronograph, which featured a 1/100-second stopwatch","Features the new solar chronograph 8A50 movement, with precision stopwatch timing to 1/100 second, measurement up to 60 minutes of elapsed time, and a split time function"
SFK001,SFK001,775,Prospex,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SFK001_1_e891795e-aa35-4c52-8602-c1bf3d72a803.png?v=1757428326,Stainless Steel,45,Light Blue,Men's,20,new,Solar GMT,5K65,JSY5K65D1,Prospex,"Stainless Steel, 45, Light Blue, Men's, 20, new, Solar GMT, 5K65, JSY5K65D1, Prospex","<p>Prospex Solar GMT Diver's Watch. Designed for those who treat life as the ultimate adventure, Seiko Prospex keeps moving forward, meeting every challenge with technological excellence and winning design. Combining Seiko's first solar GMT movement with the bold lines of an iconic Prospex design, this strong and rugged diver's watch features an energy-efficient solar cell, powered by any light source, with no battery change required, providing a 9-month power reserve when fully charged. Designed for high visibility, the light blue sunray dial offers large LumiBrite hands and markers, an orange GMT hand and a date calendar. Following ISO standards for scuba diving at depths of up to 200 meters, this exceptional timepiece, crafted of stainless steel, includes a scratch-resistant sapphire crystal, light blue uni-directional rotating elapsed timing bezel, tri-fold push button release clasp with secure lock and extender, and screwdown crown and caseback. 200m Water Resistant</p>",Caliber 5K65,Powered by light energy - no battery change required,9-month power reserve once fully charged,13.16,51.8,Stainless steel case,Stainless steel bracelet,"200 meters (660 feet), follows ISO standards and is suitable for scuba diving",SUMO2,Prospex Solar GMT Diver's Watch,Light blue uni-directional rotating elapsed timing bezel,Light blue sunray dial,Orange GMT 24-hour hand,Date calendar
SKK727,SKK727,550,Diamonds,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SKK727_1.png?v=1757428259,Stainless Steel,33.2,Mother Of Pearl,Ladies,17,,Quartz,7N32,GSS01,Diamonds,"Stainless Steel, 33.2, Mother Of Pearl, Ladies, 17, Quartz, 7N32, GSS01, Diamonds","<p>From the Diamond Collection. Designed for everyday elegance, this distinctive watch features 14 diamonds bezel-set in six directions to suggest the spread of sunlight. An updated slightly larger case, paired with the classic touches of a mother-of-pearl dial and cabochon crown, provides smooth day to night style. Crafted of stainless steel, this graceful watch includes uniquely shaped markers, a date calendar, scratch-resistant sapphire crystal and tri-fold push button release clasp. 10 bar, 100M Water Resistant</p>",Caliber 7N32,,,7.15,41,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Dia2,From the Diamond Collection,"14 diamonds, bezel-set in six directions to evoke rays of sunlight",Mother-of-pearl dial,Cabochon crown,Tri-fold push button release clasp
SKK730,SKK730,595,Diamonds,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SKK730_1.png?v=1757428262,Stainless Steel,33.2,Mother Of Pearl,Ladies,17,,Quartz,7N32,GSS01,Diamonds,"Stainless Steel, 33.2, Mother Of Pearl, Ladies, 17, Quartz, 7N32, GSS01, Diamonds","<p>From the Diamond Collection. Designed for everyday elegance, this distinctive watch features 14 diamonds bezel-set in six directions to suggest the spread of sunlight. An updated slightly larger case, paired with the classic touches of a mother-of-pearl dial and cabochon crown, provides smooth day to night style. Crafted of stainless steel, in a versatile rose gold two-tone finish, this graceful watch includes uniquely shaped markers, a date calendar, scratch-resistant sapphire crystal and tri-fold push button release clasp. 10 bar, 100M Water Resistant</p>",Caliber 7N32,,,7.15,41,Stainless steel case with two-tone rose gold finish,Rose-gold two-tone stainless steel bracelet,"10 bar, 100 meters (330 feet)",Dia2,From the Diamond Collection,"14 diamonds, bezel-set in six directions to evoke rays of sunlight",Mother-of-pearl dial,Cabochon crown,Tri-fold push button release clasp
SNE506,SNE506,595,Coutura,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SNE506_1_45b4d8b8-be71-40e3-bdf8-999d84f27ebc.png?v=1757427984,Stainless Steel,42.5,Black,Men's,12,,Solar,V157,NSEV1CCA,Coutura,"Stainless Steel, 42.5, Black, Men's, 12, Solar, V157, NSEV1CCA, Coutura","<p>From the Coutura Collection.This handsome Men's watch is designed with a black ion finished stainless steel case and bracelet with gold accents and a cabochon crown.The patterned sunray black dial features 15 diamond markers with a date calendar.The dial is protected with a scratch-resistant sapphire crystal.Powered by any light energy, its Solar Cell is energy-efficient with a 10-month power reserve once fully charged.No battery change is required.100M Water Resistant</p>",Caliber V157,Powered by light energy- no battery change required,10-month power reserve once fully charged,10.18,,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Coutura 3H,Coutura Diamond,15 diamond markers,Black ion finish with Gold accents,Cabochon crown,Patterned sunray black dial
SNE529,SNE529,250,Essentials,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SNE529_1.png?v=1757428008,Leather Strap,40,Green,Men's,20,,Solar,V158,GSS01,Essentials,"Leather Strap, 40, Green, Men's, 20, Solar, V158, GSS01, Essentials","<p>From the Men's Essentials Collection. An updated classic, with smooth lines and contemporary technology, this sophisticated solar watch is crafted of stainless steel with brown leather strap, deep green sunray finish dial, day/date calendar, gold accents, and upgraded sapphire crystal for superior scratch resistance. Powered by any light source, with no battery change required, the energy-efficient Solar Cell provides a 10-month power reserve when fully charged. 10 bar, 100M Water Resistant</p>",Caliber V158,Powered by light energy - no battery change required,10-month power reserve once fully charged,9.73,,Stainless steel case,Brown leather strap,"10 bar, 100 meters (330 feet)",MEssential3,Men's Essentials,Solar,Dark green dial with sunray finish and Gold accents,Day/Date calendar,
SNE565,SNE565,395,Coutura,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SNE565_1_4acd7231-ac7a-4e26-81b1-87fef7e68c8c.png?v=1757428062,Stainless Steel,42.5,Gray,Men's,12,,Solar,V157,NSEV158D,Coutura,"Stainless Steel, 42.5, Gray, Men's, 12, Solar, V157, NSEV158D, Coutura","<p>From the Coutura Collection. Delivering the perfect blend of sport and style for those on the move, Coutura is crafted for effortless timekeeping excellence. The newest designs offer fresh color variations with pops of contrast and an emphasis on modern luxury. Included is this sophisticated timepiece anchored by a gray dial with blue accents, date calendar and LumiBrite hands and markers, plus a bezel with blue ion finish. Crafted of stainless steel, with vigorously angular lines, this versatile watch includes a screwdown caseback, sapphire crystal and cabochon crown. Powered by any light source, with no battery change required, the energy-efficient solar cell provides a 10-month power reserve when fully charged. 10 bar, 100M Water Resistant</p>",Caliber V157,Powered by light energy - no battery change required,10-month power reserve once fully charged,10.18,,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Coutura 3H,From the Coutura Collection,Solar,Gray dial with blue accents,Date calendar,LumiBrite hands and markers
